n1	t	n2
ls:fr:node:26295	ls:fr:lf:9	ls:fr:node:52812
ls:fr:node:26296	ls:fr:lf:3	ls:fr:node:26309
ls:fr:node:26297	ls:fr:lf:28	ls:fr:node:31845
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:32181
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:44616
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:44617
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:29173
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:37699
ls:fr:node:26297	ls:fr:lf:3	ls:fr:node:44618
ls:fr:node:26297	ls:fr:lf:8	ls:fr:node:44573
ls:fr:node:26297	ls:fr:lf:126	ls:fr:node:29420
ls:fr:node:26297	ls:fr:lf:126	ls:fr:node:44590
ls:fr:node:26297	ls:fr:lf:126	ls:fr:node:27447
ls:fr:node:26297	ls:fr:lf:126	ls:fr:node:42281
ls:fr:node:26297	ls:fr:lf:138	ls:fr:node:29769
