"source"	"target"	"type"	"subtype"
"ls:fr:node:31739"	"ls:fr:node:44103"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31747"	"ls:fr:node:47789"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:47776"	"ls:fr:node:31747"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:31749"	"ls:fr:node:47788"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:29937"	"ls:fr:node:28456"	"ls:fr:cptype:2"	""
"ls:fr:node:29937"	"ls:fr:node:43772"	"ls:fr:cptype:2"	""
"ls:fr:node:47746"	"ls:fr:node:37049"	"ls:fr:cptype:2"	""
"ls:fr:node:47746"	"ls:fr:node:30047"	"ls:fr:cptype:2"	""
"ls:fr:node:29937"	"ls:fr:node:43775"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:28563"	"ls:fr:node:44243"	"ls:fr:cptype:2"	""
"ls:fr:node:41212"	"ls:fr:node:40994"	"ls:fr:cptype:5"	""
"ls:fr:node:40994"	"ls:fr:node:40995"	"ls:fr:cptype:2"	""
"ls:fr:node:40995"	"ls:fr:node:41850"	"ls:fr:cptype:2"	""
"ls:fr:node:40995"	"ls:fr:node:40996"	"ls:fr:cptype:2"	""
"ls:fr:node:40995"	"ls:fr:node:40998"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:42372"	"ls:fr:node:42373"	"ls:fr:cptype:4"	"ls:fr:cpstype:10"
"ls:fr:node:27059"	"ls:fr:node:46277"	"ls:fr:cptype:2"	""
"ls:fr:node:27059"	"ls:fr:node:32745"	"ls:fr:cptype:2"	""
"ls:fr:node:39012"	"ls:fr:node:39022"	"ls:fr:cptype:2"	""
"ls:fr:node:38790"	"ls:fr:node:39021"	"ls:fr:cptype:2"	""
"ls:fr:node:38789"	"ls:fr:node:39020"	"ls:fr:cptype:2"	""
"ls:fr:node:39013"	"ls:fr:node:39023"	"ls:fr:cptype:2"	""
"ls:fr:node:26529"	"ls:fr:node:39087"	"ls:fr:cptype:1"	"ls:fr:cpstype:1"
"ls:fr:node:26529"	"ls:fr:node:39087"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
"ls:fr:node:42481"	"ls:fr:node:42479"	"ls:fr:cptype:2"	""
"ls:fr:node:26688"	"ls:fr:node:55615"	"ls:fr:cptype:4"	""
"ls:fr:node:29848"	"ls:fr:node:38385"	"ls:fr:cptype:2"	""
"ls:fr:node:29848"	"ls:fr:node:38425"	"ls:fr:cptype:1"	"ls:fr:cpstype:4"
"ls:fr:node:38425"	"ls:fr:node:38386"	"ls:fr:cptype:5"	""
"ls:fr:node:39087"	"ls:fr:node:47762"	"ls:fr:cptype:2"	""
"ls:fr:node:26529"	"ls:fr:node:39103"	"ls:fr:cptype:1"	"ls:fr:cpstype:2"
